influx tag,"Antenna
name",Cosmic ray subarray,"Antenna
type",Latitude ITRF2000(1997.0),Longitude  ITRF2000(1997.0),Elevation (meters HAE),X (m),Y (m),"Used in
LWA-352",Online,Pol A FEE #,Pol B FEE #,Pol A Ant cable status,Pol B Ant cable status,"ARX board
location #",ARX Serial Number,ARX board address,"Pol A ARX
channel #",,"Pol B ARX
channel #",,"SNAP2
board ID","SNAP2
chassis #","SNAP2
location #",SNAP2 MAC Address,"SNAP2
hostname",FMC #,"Pol A digitizer
channel #","Pol B digitizer
channel #",Pol A FPGA Input #,Pol B FPGA Input #,Correlator number,Notes,,,
dict_key,antname,,ant_type,latitude,longitude,elevation,x,y,used,online,pola_fee,polb_fee,pola_resistance,polb_resistance,arx_location,arx_serial,arx_address,pola_arx_channel,check1,polb_arx_channel,check2,snap2_serial,snap2_chassis,snap2_location,snap2_mac,snap2_hostname,fmc,pola_digitizer_channel,polb_digitizer_channel,pola_fpga_num,polb_fpga_num,corr_num,notes,,,
,LWA-039,,Coaxial,37.24028153,-118.281268,1182.76,35.38,55.96,NO,NO,,,~2M,~5M,,,,,,,0,,,,,,,,,,,,,,,
,LWA-171,D,Coaxial,37.2399239,-118.281947,1182.75,-24.87,16.27,YES,YES,0627,0689,OK,OK,38,43,38,15,3815,16,3816,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,4,5,6,7,291,FEE installed on 11/03/2021,,,
,LWA-179,E,Coaxial,37.23963069,-118.281992,1183.01,-28.87,-16.27,YES,YES,0329,0235,OK,OK,42,47,42,5,4205,6,4206,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,4,5,6,7,323,FEE installed on 11/03/2021,,,
,LWA-258,K,Fiber,37.24283535,-118.2934476,1179.57,-1045.29,339.39,YES,YES,151,396,,,5,4101,5,3,503,4,504,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,4,5,6,7,35,,,,
,LWA-267,J,Fiber,37.24374688,-118.2817717,1184.37,-9.31,440.56,YES,YES,617,366,,,1,4102,1,5,105,6,106,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,4,5,6,7,3,,,,
,LWA-006,G,Coaxial,37.24010766,-118.2808695,1182.88,70.74,36.67,YES,YES,0800,0872,OK,OK,15,40,15,13,1513,14,1514,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,10,11,8,9,68,FEE installed 10/28/2021,,,
,LWA-018,A,Coaxial,37.23971259,-118.2806302,1182.59,91.97,-7.18,YES,YES,0791,0930,OK,OK,19,35,19,1,1901,2,1902,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,10,11,8,9,100,FEE installed 10/29/2021,,,
,LWA-063,C,Coaxial,37.23897771,-118.2811979,1182.59,41.60,-88.74,YES,YES,0404,0202,OK,OK,22,30,22,5,2205,6,2206,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,10,11,8,9,132,FEE installed 11/01/2021,,,
,LWA-066,I,Coaxial,37.24058129,-118.2813176,1182.77,30.98,89.23,YES,YES,0130,0174,OK,OK,25,31,25,9,2509,10,2510,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,10,11,8,9,164,FEE installed 11/03/2021,,,
,LWA-108,H,Coaxial,37.23993209,-118.2815542,1182.77,9.98,17.18,YES,YES,0459,0199,OK,OK,29,24,29,1,2901,2,2902,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,10,11,8,9,196,FEE installed on 11/04/2021,,,
,LWA-140,F,Coaxial,37.24008681,-118.2817915,1182.57,-11.08,34.35,YES,YES,0474,0250,OK,OK,35,29,35,15,3515,16,3516,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,10,11,8,9,260,FEE installed on 11/04/2021,,,
,LWA-169,D,Coaxial,37.24001906,-118.2819971,1183.06,-29.32,26.83,YES,YES,0105,0357,OK,OK,39,44,39,5,3905,6,3906,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,10,11,8,9,292,FEE installed 6/2022,,,
,LWA-183,E,Coaxial,37.2394042,-118.2820249,1182.92,-31.79,-41.40,YES,YES,0318,0555,OK,OK,42,47,42,11,4211,12,4212,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,10,11,8,9,324,FEE installed on 11/03/2021,,,
,LWA-188,B,Coaxial,37.23913259,-118.2818888,1182.70,-19.71,-71.55,YES,YES,0514,0260,OK,OK,32,20,32,11,3211,12,3212,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,10,11,8,9,228,FEE installed on 11/04/2021,,,
,LWA-265,K,Fiber,37.23930622,-118.2852944,1182.75,-321.89,-52.28,YES,YES,0501,0257,,,5,4101,5,9,509,10,510,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,10,11,8,9,36,,,,
,LWA-271,J,Fiber,37.24699479,-118.2854428,1184.64,-335.02,801.02,YES,YES,322,559,,,1,4102,1,11,111,12,112,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,10,11,8,9,4,,,,
,LWA-005,G,Coaxial,37.24016027,-118.2807211,1183.14,83.91,42.51,YES,YES,0314,0569,OK,OK,15,40,15,11,1511,12,1512,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,8,9,10,11,69,FEE installed 11/03/2021,,,
,LWA-017,A,Coaxial,37.23972113,-118.2808338,1182.52,73.90,-6.23,YES,YES,0631,0368,OK,OK,18,37,18,15,1815,16,1816,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,8,9,10,11,101,FEE installed 11/08/2021,,,
,LWA-060,C,Coaxial,37.23922219,-118.2810893,1182.42,51.23,-61.60,YES,YES,0473,0255,OK,OK,22,30,22,3,2203,4,2204,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,8,9,10,11,133,FEE installed 11/03/2021,,,
